MapId,Win Rate,Loss Rate,Draw Rate
4772585,194,756,50
13517948,529,448,23
1920173353,574,413,13
388850353,620,356,24
1948857596,1,3,996
1635903174,616,379,5
57107299,309,684,7
1954702968,703,150,147
1076233602,369,597,34
2004111927,477,503,20
284751337,409,498,93
1355849257,133,248,619
1916258452,358,581,61
2030888494,351,641,8
1793118839,560,331,109
1123258574,258,580,162
1478072573,703,248,49
1358693500,561,429,10
910322671,57,25,918
85129549,405,207,388
426255606,596,360,44
1430266285,321,633,46
603026315,15,3,982
2143701711,738,221,41
1800106353,402,579,19
1272510478,515,398,87
1630456803,820,173,7
622279257,438,516,46
988720547,262,643,95
1533907874,497,407,96
1308084996,426,430,144
462040098,347,453,200
665459225,444,539,17
250068110,605,342,53
275405218,316,647,37
2130533172,3,3,994
2082218859,443,527,30
859957905,658,330,12
1507868330,13,33,954
1250440241,233,210,557
1346459720,412,357,231
1389236665,32,47,921
1857063155,519,315,166
1479508685,554,365,81
752260789,540,437,23
1435513261,334,248,418
1389726043,413,461,126
357129798,680,225,95
250281692,530,395,25

