MapId,Win Rate,Loss Rate,Draw Rate
1835151851,320,597,83
94086917,276,547,177
28334953,522,145,333
2118716399,217,285,498
1072697627,690,220,90
1980720074,772,126,102
2093622142,618,371,11
2068193605,465,231,304
513569214,202,191,607
2060972719,610,377,13
1277833727,605,369,26
1721447462,534,436,30
1735250246,438,518,44
1140833826,735,244,21
265049895,364,196,440
910741868,150,842,8
1953356755,572,364,64
1627187298,594,381,25
1638283943,413,567,20
927320200,680,302,18
2023052594,649,340,11
1445193205,220,752,28
929135704,539,437,24
788701013,593,295,112
1211568061,216,663,121
2132123112,64,76,860
1913491338,533,438,29
1274221508,67,69,864
1507521905,280,650,70
1197656622,4,6,990
1757844756,534,395,71
1718331069,175,225,600
77845404,91,88,6

