MapId,Win Rate,Loss Rate,Draw Rate
0,0,0,1
309480444,517,404,79
1737683658,393,332,275
44027386,565,423,12
1673184528,481,388,131
1806579757,56,60,884
636179657,106,233,661
447052444,446,537,17
543541989,391,257,352
611398151,509,424,67
1666547870,191,321,488
2056757633,214,280,506
7763584,655,265,80
88400998,371,579,50
1597283617,573,332,95
848206528,282,374,344
1623596118,222,537,241
54678498,299,670,31
674912368,512,468,20
2117710505,562,344,94
755149713,55,64,881
656363904,508,483,9
1081088853,457,506,37
1736442644,461,473,66
2034079932,460,484,56
2125534869,496,411,93
1038242022,569,389,42
706533687,652,333,15
68716365,183,260,557
564412993,295,630,75
671598510,556,398,46
643766104,540,355,105
62989643,419,455,126
1674240979,177,756,67
1960211264,323,586,91
109481489,156,351,493
1013731314,520,402,78
1075547844,86,79,835
1530658200,421,559,20
889753260,653,219,128
1595980750,240,307,453
681443692,257,402,341
2096772394,33,24,943
670373878,469,525,6
93201395,371,602,27
638818326,13,19,445

