MapId,Win Rate,Loss Rate,Draw Rate
68782044,384,308,308
357666143,553,398,49
2131869014,454,89,457
2128019435,248,438,314
2106535457,611,373,16
1709584160,708,251,41
696925112,668,311,21
2053825173,795,191,14
61369782,802,160,38
2101944959,79,76,845
1020206277,12,1,987
1396892949,414,536,50
35816385,489,509,2
1309276994,272,131,597
1684967871,564,396,40
366120093,421,534,45
1072685424,595,319,86
518751847,392,566,42
661998167,377,591,32
412859111,387,333,280
203554133,600,370,30
303863579,526,444,30
2043761429,659,310,31
433318871,8,26,129

