MapId,Win Rate,Loss Rate,Draw Rate
114794027,714,202,84
1555833923,626,373,1
1468583267,480,507,13
1876620822,389,342,269
169905045,317,530,153
155934092,489,426,85
376463154,59,238,703
352012693,364,255,381
230182854,368,191,441
1874841592,373,615,12
1797215476,397,374,229
1029361463,272,396,332
917074004,613,371,16
1114370052,648,333,19
458661613,720,153,127
1260620261,386,236,378
100701736,468,471,61
618021192,353,285,362
226127224,225,700,75
70880219,289,232,479
1386107731,372,467,161
1946383672,527,298,175
1707502474,16,7,977
1689958851,518,477,5
920356636,802,193,5
361105861,480,499,21
2127527932,272,495,233
156963346,268,385,347
414472486,242,210,548
1209247957,342,533,125
1786530609,87,187,726
1519527326,676,306,18
181194770,28,28,944
1535162821,9,4,987
1981736151,743,159,98
1590683105,5,13,982
41050226,249,144,607
739136604,541,430,29
1705852068,400,562,38
1432025227,511,459,30
2092324453,423,505,72
728832372,573,319,108
648960372,587,403,10
618200822,62,25,37

