MapId,Win Rate,Loss Rate,Draw Rate
1839488332,199,28,773
1264002100,264,80,656
2120553390,187,228,585
1533685965,381,563,56
982103134,480,445,75
700609268,493,225,282
11833387,531,403,66
633783915,564,396,40
1712128645,126,206,668
1828225052,196,462,342
755265732,338,158,504
1196465750,201,400,399
1666213269,619,356,25
9899691,541,400,59
100873368,237,479,284
121302072,512,408,80
1196919339,339,118,543
1337645213,123,46,831
994801213,214,53,733
1711171480,582,402,16
525110905,150,227,623
1436751657,543,326,131
725177049,565,397,38
557678497,610,108,282
1286757287,660,330,10
215127021,847,140,13
1495529677,514,307,179
1021072777,7,4,1

