MapId,Win Rate,Loss Rate,Draw Rate
36569167,130,138,732
468001041,504,466,30
2075933323,563,422,15
1230764791,713,281,6
1829787418,723,175,102
1381456136,775,211,14
295187108,211,86,703
2126019612,428,500,72
199999593,205,81,714
1631904555,484,472,44
268662952,599,323,78
988693345,504,464,32
685774925,503,433,64
1415042322,232,116,652
1512880314,428,372,200
1320179343,398,553,49
2138373233,8,17,975
421111948,145,274,581
442720446,766,228,6
650920269,299,683,18
1707684330,327,501,172
2106405796,578,396,26
1452606299,748,63,189
1592759587,652,247,101
1243905009,589,351,60
1898561434,681,288,31
1774033008,532,443,25
850460575,317,658,25
1822670046,515,455,30
972166460,172,106,722
616456441,17,14,969
1664596503,251,742,7
490613192,455,538,7
890453687,517,184,299
1500363887,516,131,353
2107112508,306,647,47
258432207,343,176,481
1364193351,754,238,8
602122075,17,3,980
334629509,579,412,9
1076567667,387,187,426
771288496,600,290,110
1829157082,416,325,259
1132325267,470,268,262
586628178,603,329,68
91807472,348,627,25
1918439228,489,217,81

