MapId,Win Rate,Loss Rate,Draw Rate
178844,14,16,970
563291788,593,402,5
610716174,588,329,83
1381787178,472,516,12
1977639518,81,111,808
1585915197,96,202,702
2050922236,171,620,209
1085195611,333,520,147
1322458274,516,222,262
235037108,406,423,171
1747842209,599,179,222
949918943,465,503,32
1072788011,466,452,82
1283603306,651,280,69
553885670,496,460,44
645832959,580,411,9
1220524251,525,468,7
1290531815,615,269,116
861217175,189,150,661
977842063,357,486,157
387331286,356,624,20
1681457227,236,613,151
1193145761,542,277,181
2119861706,572,323,105
516054717,521,399,80
298421759,62,71,867
1145758548,539,453,8
111409289,317,557,126
1579154757,429,104,467
28432101,419,334,247
388681398,292,141,567
1625472717,569,413,18
594527110,94,220,686
1703050764,85,179,736
1516915908,600,304,96
978748514,2,0,998
814983022,363,531,106
723976823,630,332,38
772000191,299,78,623
1063246907,372,608,20
732915218,41,27,932
1624620095,131,250,619
1567865639,297,234,56

