MapId,Win Rate,Loss Rate,Draw Rate
225820189,532,357,111
260206885,500,273,227
1439150837,495,489,16
1862790236,468,489,43
1779135741,350,617,33
534617754,605,355,40
1202653734,275,655,70
1844382834,740,191,69
398855199,3,4,993
442448303,589,380,31
1067162404,353,509,138
1008226961,297,647,56
2063699368,499,448,53
2097497640,367,578,55
1862085890,526,308,166
1246233738,428,562,10
722211781,608,376,16
472629888,671,287,42
2082317791,367,597,36
540004763,595,388,17
1004991473,241,136,623
487866288,567,172,261
32460942,364,345,291

