MapId,Win Rate,Loss Rate,Draw Rate
2109185966,409,467,124
1553984800,487,483,30
831511799,443,536,21
1021814691,593,385,22
267522084,607,305,88
1844404160,566,401,33
362061162,670,203,127
1320573657,169,248,583
1047668664,101,267,632
250870919,291,644,65
681044589,525,337,138
1022442977,594,384,22
385904076,550,383,67
342032612,229,362,409
790678141,593,388,19
565218806,284,547,169
1316891190,599,366,35
1111761719,4,0,996
620655506,123,40,837
41447414,264,652,84
783137380,54,212,734
406763513,274,428,298
1054800373,337,623,40
2056896586,281,183,536
408038570,296,164,12

