MapId,Win Rate,Loss Rate,Draw Rate
1973045692,612,335,53
1917415477,531,404,65
2146550582,288,83,629
426414216,785,203,12
466818009,448,537,15
513462765,372,358,270
1134343674,516,426,58
986887446,613,282,105
2101066392,457,527,16
1255873067,203,187,610
1275356213,44,19,937
552801749,481,471,48
1670489997,462,491,47
149621250,545,438,17
706066089,331,637,32
785826521,382,140,478
271139898,288,186,526
1860793751,586,366,48
1687983118,431,530,39
254920144,210,706,84
879195518,654,335,11
121640028,512,233,255
688425132,574,267,159
131314665,468,310,222
123632749,27,4,969
826175950,293,612,95
1382159948,488,468,44
1320190946,75,105,820
1487263315,189,87,724
1993174958,111,228,279

