MapId,Win Rate,Loss Rate,Draw Rate
1942686700,99,337,564
1655770496,488,245,267
572258247,488,483,29
1144542307,594,270,136
1357056153,22,52,926
1502802131,570,327,103
1096718969,401,492,107
42499514,470,501,29
1473803799,441,286,273
1020559303,459,514,27
734455437,614,291,95
921012246,555,426,19
1268828175,180,170,650
840670038,485,485,30
1624288391,283,703,14
1708357364,601,362,37
78158787,503,485,12
779204474,507,432,61
833341102,538,438,24
444713498,715,275,10
2031030586,163,16,821
1656034837,481,490,29
2097096000,222,79,700
1167149201,478,298,223
115533731,10,2,988
503896577,524,459,17
238706814,357,209,434
203461662,530,458,12
2061815914,236,142,622
1269049724,155,113,23

