MapId,Win Rate,Loss Rate,Draw Rate
1964442688,478,503,19
1856672380,73,126,801
1358396053,481,398,121
1751983848,120,40,840
683451132,632,358,10
1216750774,55,57,888
1067208879,313,484,203
1943570295,615,269,116
1546165226,732,164,104
530641195,749,241,10
847582069,164,168,668
1193493182,533,447,20
655838262,358,125,517
1109098795,176,189,635
831727191,439,212,349
527089784,266,259,475
424694567,515,315,170
1601410204,460,394,146
691644109,388,209,403
1044226404,575,397,28
2068214643,25,23,952
565358698,531,459,10
2056876640,341,317,342
1930086343,600,356,44
862704281,411,571,18
1575634377,45,157,798
1552184552,284,697,19
50088343,467,488,45
1023933396,473,511,16
1108452089,504,469,27
1255468710,50,51,118

