MapId,Win Rate,Loss Rate,Draw Rate
1839150883,340,602,58
1802558522,697,207,96
110174788,489,446,65
646521503,0,0,1000
1332081551,464,503,33
2082571951,549,437,14
2034665688,551,240,209
1968819203,504,183,313
445675533,127,136,737
373682195,481,496,23
251340533,330,521,149
1837498226,630,361,9
352246092,435,261,304
705127352,453,523,24
1534335265,378,619,3
473167210,388,393,219
79556437,33,42,925
599580896,120,550,330
1508318548,457,531,12
1949963653,557,393,50
2102399589,185,96,719
1726220916,374,228,398
2048120004,448,343,209
1046435424,336,650,14
123130061,42,88,870
499629253,109,251,119

