MapId,Win Rate,Loss Rate,Draw Rate
1982228827,173,191,636
2106982598,609,383,8
1583703491,321,163,516
104924632,424,335,241
1644622172,156,118,726
732367428,293,689,18
1479238626,542,444,14
60988339,29,88,883
1790213122,641,343,16
544732162,427,515,58
1730607841,527,378,95
305294105,344,497,159
662284638,300,380,320
316339917,306,580,114
1516681690,332,343,325
142762890,6,2,992
648950235,796,170,34
1846656430,250,259,491
2012752457,126,208,666
757366278,273,415,312
1024146839,652,280,68
1805558351,442,478,80
2046221062,525,461,14
262053323,125,511,364
629256293,832,102,66
2011592426,628,316,56
1085149297,258,474,268
650064134,501,490,9
1992700607,230,192,14

