MapId,Win Rate,Loss Rate,Draw Rate
30157733,515,456,29
273952357,560,390,50
703326342,572,421,7
658087987,475,494,31
472393705,472,358,170
1616528316,735,243,22
41515950,117,139,744
727309010,435,436,129
1027049778,680,301,19
1811608310,610,346,44
1463951805,369,435,196
1487783470,408,582,10
1405917035,344,531,125
1123206051,41,21,938
1163286529,165,672,163
455667736,131,109,760
1340204932,717,279,4
126074796,293,448,259
791339170,423,386,191
23907598,74,319,607
151166957,1,0,999
501416746,346,618,36
23269203,604,385,11
1559889944,594,331,75
980903737,384,577,39
1501246558,511,466,23
335121707,533,437,30
910375976,508,402,90
2008427739,309,53,638
2136149218,633,340,27
1970789820,592,389,19
2009546002,242,665,93
617780140,175,177,648
640027299,688,286,26
602987327,444,347,209
1511499927,368,587,45
947406629,678,268,54
929763287,314,621,65
431269010,639,238,123
1367669906,250,735,15
1622367887,512,481,7
884593826,799,104,97
936602321,8,0,992
508683426,114,874,12
1452092226,453,522,25
34531841,564,418,18
938432460,736,259,5
60327329,650,322,28
1479640732,379,208,413
1974149948,588,290,122
1044479402,24,24,399

