MapId,Win Rate,Loss Rate,Draw Rate
0,0,0,1
2085046939,741,197,62
1730984443,672,294,34
266726391,576,285,139
1209898834,552,404,44
163207236,304,90,606
871650554,547,443,10
442919864,415,354,231
1470451719,402,449,149
2098944815,712,231,57
458293723,353,322,325
1102451558,441,476,83
446275859,316,124,560
268461066,564,291,145
1016801714,769,129,102
271805752,809,178,13
1943503698,369,611,20
2068565393,33,92,875
1736528308,612,284,104
1436805770,410,549,41
1832703145,246,688,66
89024199,349,189,462
1240005721,109,125,766
2082142196,597,365,38
370486177,61,21,918
1049491934,665,322,13
2114709401,517,475,8
944988829,622,358,20
318781098,586,404,10
2095774695,499,364,137
483688449,279,688,33
1611706003,372,295,333
395277149,247,518,235
405686572,251,106,246

