MapId,Win Rate,Loss Rate,Draw Rate
113132439,571,395,34
487362201,540,420,40
775542383,595,309,96
951312166,2,1,997
526905159,673,248,79
137751336,31,32,937
123257296,775,170,55
125256473,743,236,21
805412936,450,536,14
290818081,344,621,35
494514662,448,543,9
1799099413,372,588,40
448808720,255,716,29
1692715390,617,366,17
1697263069,430,254,316
1413044856,506,462,32
1966092736,416,355,229
1822391104,493,179,328
1175484498,512,270,218
1458630554,445,509,46
1565173814,362,520,118
2094115818,504,465,31
1084471170,11,4,838

