MapId,Win Rate,Loss Rate,Draw Rate
229064364,440,513,47
906820431,606,343,51
1381060063,567,424,9
2088512449,383,532,85
1652850597,452,521,27
114309486,476,229,295
1443936683,373,546,81
1809717112,464,463,73
1327393629,576,411,13
80493645,468,508,24
2079103394,484,473,43
2107964691,348,505,147
1395880268,294,635,71
1752715902,713,258,29
1916345743,390,587,23
1951138504,396,531,73
1355525185,679,301,20
2132224548,668,325,7
55372190,344,605,51
1952090915,4,66,930
776703441,541,423,36
1181810167,706,136,158
1918753734,658,318,24
1681401022,284,516,200
1986471205,214,287,499
1155479823,311,677,12
566418725,686,279,35
877410861,3,3,994
1461836756,178,765,57
221624341,12,3,985
656006071,251,403,346
15242741,304,610,86
801931208,619,372,9
45518029,521,302,177
1906005836,474,468,58
1179633875,307,632,61
805093117,196,769,35
915104146,494,391,115
1288208145,357,626,17
1334981238,561,348,91
1640620975,586,388,26
1687599248,235,149,616
712815645,337,591,72
554370890,400,314,286
1006670206,515,129,356
1224312913,698,261,41
23083981,620,326,54
158828115,215,270,515
955889996,110,25,865
1506135038,233,385,4

