MapId,Win Rate,Loss Rate,Draw Rate
1978487974,571,403,26
927464485,618,246,136
715250935,537,220,243
1988665879,271,669,60
282342660,453,293,254
938493208,454,472,74
235440611,460,522,18
1763535693,183,238,579
1801093114,453,176,371
1451406880,420,432,148
1645533746,266,232,502
523458749,497,500,3
63187066,334,614,52
1053025812,496,144,360
269652157,667,284,49
1253015971,422,520,58
611607262,557,406,37
1794396399,516,416,68
373408136,183,151,666
670585542,354,305,341
1826647338,474,409,117
1163494714,300,630,70
451872077,829,140,31
1325871920,659,216,125
265109378,98,250,652
888426102,545,378,77
1428620483,145,35,820
214666487,51,93,856
452696479,134,34,701

