MapId,Win Rate,Loss Rate,Draw Rate
1843843131,590,386,24
1576208562,290,682,28
1903711271,359,606,35
641277577,120,113,767
1010353664,360,573,67
669040991,591,274,135
1883806101,328,627,45
803094973,137,94,769
1510061868,645,332,23
1258790514,768,228,4
1962080952,596,323,81
878959714,383,76,541
500907974,505,469,26
414193048,22,55,923
1661975263,36,10,954
471806389,679,301,20
2142368266,298,691,11
1009315230,515,449,36
1519043564,496,463,41
575580933,158,258,584
1551201443,81,196,723
1844558664,204,152,644
905527734,764,223,13
581494201,517,431,52
569228944,411,436,153
410792245,365,516,119
405732568,3,7,990
276885329,229,286,485
1220092794,447,176,377
873674449,76,34,78

