MapId,Win Rate,Loss Rate,Draw Rate
1987069921,567,430,3
679090852,364,512,124
530443110,339,506,155
2058531585,279,663,58
1909493196,726,250,24
1342184191,539,400,61
315045175,813,162,25
1770635313,314,610,76
1675860154,157,519,324
15025401,548,411,41
513228508,40,48,912
1742839147,376,597,27
1256062445,646,338,16
1416917876,524,473,3
2032886702,563,425,12
1376127759,498,466,36
403272731,636,308,56
256699462,137,283,580
1469477607,259,529,212
2110035515,566,392,42
1582806197,580,410,10
200073145,548,380,72
106329782,533,213,254
1362730000,312,652,36
1171823686,552,415,33
1404931195,614,344,42
1097809139,326,207,467
2130940967,467,480,53
25092884,355,605,40
2027701884,554,384,62
1904021520,699,298,3
1351423399,90,131,223

