MapId,Win Rate,Loss Rate,Draw Rate
1844390863,620,202,178
152076427,404,317,279
1280892209,594,294,112
1775977959,13,3,984
1971378564,403,410,187
1842743425,356,630,14
1934788423,455,488,57
718849287,511,282,207
258598785,355,468,177
857112798,376,535,89
422953371,401,531,68
851918823,544,391,65
26678638,450,420,130
100932962,385,442,173
339583418,523,463,14
225658618,356,548,96
924018794,190,709,101
120416999,391,509,100
935442378,477,279,244
719881980,433,470,97
262835961,504,414,82
1073761799,13,3,984
15564865,468,444,88
1565840008,275,173,552
1053204507,205,140,2

