MapId,Win Rate,Loss Rate,Draw Rate
18258169,365,425,210
248521134,402,544,54
297778499,200,157,643
669760466,517,312,171
1805662233,636,174,190
884306852,445,508,47
760558632,517,348,135
1047793808,448,539,13
463127666,342,585,73
782887195,466,416,118
578705235,455,475,70
459093120,565,329,106
145282825,396,522,82
108188923,376,613,11
1849115976,557,413,30
795470519,719,238,43
1953316404,32,7,961
319285921,510,412,78
1007791487,543,451,6
1290517020,679,207,114
201380774,289,149,562
1263173964,350,218,432
1017125978,651,328,21
1222249163,527,447,26
1755715227,70,43,887
762129826,29,36,935
592624037,577,264,159
579801351,40,24,936
1284696327,326,320,354
357554021,532,151,317
219822600,576,383,41
2047627149,227,644,129
2012045402,317,674,9
235474594,585,339,76
519433213,25,15,960
1728329263,421,481,98
638896446,15,31,954
987508300,438,432,130
2092363227,477,489,34
1065018686,560,395,45
934468571,478,449,73
1537918753,671,268,61
837717575,504,490,6
2059344136,375,385,240
634461543,322,636,42
2120546033,225,653,122
1332591048,142,154,16

