MapId,Win Rate,Loss Rate,Draw Rate
13945449,209,317,474
1038826248,369,594,37
984407435,415,531,54
1510519317,655,281,64
148025343,482,466,52
73559890,734,218,48
1892712488,558,393,49
1959000938,644,249,107
2020729656,357,388,255
911334328,551,425,24
1865854441,469,508,23
590630604,314,416,270
124826031,541,393,66
56754739,483,497,20
1364696494,163,417,420
645727183,28,37,935
1849736123,624,359,17
1429512051,413,367,220
623805055,2,1,997
1120084616,462,493,45
942038479,408,448,144
738607812,483,472,45
2032615906,497,479,24
632786510,256,129,615
1384170270,572,416,12
364383456,515,460,25
444288998,340,224,436
364115493,517,417,66
332409361,672,303,25
1955185214,365,553,82
1446444421,145,449,406
1046600151,430,501,69
243836911,575,348,77
790220413,73,172,755
1776825540,654,307,39
133385418,568,401,31
652287836,0,2,998
391176492,353,507,140
1323509887,656,324,20
992123703,441,371,188
1870130288,533,324,143
570926051,443,458,99
1380951210,39,32,929
2088191052,332,298,370
1597743004,3,0,997
978925153,76,104,820
764539100,14,2,224

