MapId,Win Rate,Loss Rate,Draw Rate
2008604506,483,443,74
992145382,8,28,964
902685844,408,532,60
1804905025,375,563,62
2100369553,632,341,27
261859592,7,15,978
712181860,493,486,21
1640063791,376,529,95
1973786240,12,22,966
829663846,311,635,54
1232259933,748,219,33
242908201,522,437,41
1124451628,589,291,120
1646066697,518,421,61
1931214614,14,38,948
76016095,367,370,263
1175122546,520,433,47
827859569,112,20,868
1328174380,611,271,118
104930624,356,423,221
804513381,241,316,443
1837772978,593,356,51
1024259844,272,722,6
1759826130,454,529,17
849616058,493,459,48
805559239,562,332,106
805912759,507,382,111
386965313,430,383,187
1410613042,551,295,154
587497785,448,533,19
40686356,456,444,100
1465583824,371,309,34

