MapId,Win Rate,Loss Rate,Draw Rate
1877332849,650,343,7
314268570,485,403,112
175937989,593,384,23
1003582181,672,316,12
683915156,617,367,16
305686112,555,424,21
1481725065,732,233,35
888461761,469,322,209
1502819512,663,318,19
760496222,727,260,13
569756296,638,327,35
1281527589,499,467,34
531704211,12,5,983
419072494,252,685,63
292006686,632,263,105
1534865481,412,42,546
1934962799,416,566,18
999463783,655,118,227
855490428,480,425,95
289898183,323,644,33
1928235243,543,334,123
1800296480,666,314,20
435576718,369,566,65
1657194901,234,151,615
209760091,348,493,159
141537436,131,94,775
698051530,317,165,25

