MapId,Win Rate,Loss Rate,Draw Rate
13673416,558,428,14
1350668113,471,496,33
642854898,5,0,995
12932949,407,329,264
106007111,351,641,8
37707308,477,314,209
2141582298,299,685,16
1123338107,477,219,304
1579224789,486,416,98
2127821580,571,368,61
1281780031,626,292,82
326236602,577,374,49
793271514,523,463,14
539210336,526,411,63
1834043251,616,345,39
610630150,96,72,832
20419938,593,372,35
1966816131,598,338,64
566503620,15,21,964
698585062,611,382,7
262633941,324,182,494
1524296749,65,113,822
1634914350,67,48,1

