MapId,Win Rate,Loss Rate,Draw Rate
1945924887,483,473,44
1393671781,403,573,24
371093307,491,479,30
611688565,348,458,194
304555796,417,220,363
2068413718,222,762,16
997804960,110,505,385
1260303716,292,292,416
1150366123,483,495,22
1300375151,610,353,37
658740889,631,324,45
1631501995,200,677,123
2093010031,156,159,685
550865186,617,331,52
1483630328,207,771,22
1873796730,419,341,240
1131172240,575,408,17
1752689552,466,511,23
1944568722,311,635,54
796175471,255,96,649
535837543,464,467,69
2069058386,345,627,28
575197546,544,435,21
828504987,357,609,34
640851214,427,439,134
1581911383,676,274,50
596753920,587,387,26
976772820,795,159,46
1735698816,111,48,841
1383943697,525,438,37
1144690800,392,416,192
1253303823,592,397,11
1663801072,281,298,57

