MapId,Win Rate,Loss Rate,Draw Rate
22105930,276,229,495
268627990,286,86,628
850408782,668,260,72
234455835,546,219,235
1768536296,302,148,550
1998300791,461,434,105
148307279,602,374,24
1188560291,190,75,735
1682172891,536,460,4
1115906543,68,17,915
520330437,127,200,673
626123886,426,199,375
1985733792,267,361,372
2122034519,460,362,178
2142650908,474,503,23
2030930540,623,299,78
317510681,130,98,772
386333111,556,405,39
1257463218,431,553,16
865203324,160,240,600
745301069,662,203,135
1749963258,283,466,251
641860680,705,266,29
15540330,59,195,746
690959655,526,218,256
2124163819,350,200,450
178562813,478,73,449
2065473661,273,164,563
1207204371,455,425,120
1931125298,223,115,662
427499707,554,329,117
1267272782,631,362,7
803790997,372,413,215
1096038962,10,15,975
1605680991,432,209,359
1928586693,407,578,15
24958258,369,610,21
1958491010,525,384,91
966881028,558,174,268
193822765,578,230,192
1962266053,315,448,237
146088600,197,58,192

