MapId,Win Rate,Loss Rate,Draw Rate
1993702146,311,638,51
1161896528,556,326,118
476213753,616,322,62
430489587,301,412,287
1084907584,420,562,18
2107039579,307,503,190
455214829,3,1,996
840262183,261,54,685
846775053,357,613,30
570421993,345,605,50
343671092,353,616,31
2009900625,269,676,55
45791262,523,441,36
1501971145,21,0,979
520155131,454,520,26
645171885,598,383,19
930373802,66,20,914
315068739,511,446,43
1411717569,672,308,20
510492520,388,556,56
680994925,627,298,75
796198546,362,577,61
128388572,91,110,799
2017100720,658,39,303
801401293,393,592,15
1318431505,219,187,594
1714946714,601,272,127
426148723,669,124,207
684587826,425,213,39

