MapId,Win Rate,Loss Rate,Draw Rate
1725400227,508,469,23
1434242308,328,631,41
2010246674,520,267,213
1123897265,433,549,18
518926634,155,226,619
602408934,280,495,225
844925970,613,371,16
1664010554,410,578,12
1402335005,418,330,252
1787902410,623,354,23
677677101,10,12,978
869951894,215,456,329
1368063585,439,206,355
188703535,497,482,21
106803522,326,617,57
960576518,460,509,31
1045700537,0,1,999
386366758,619,362,19
1528647768,591,374,35
888839699,49,12,939
771604511,435,413,152
1987075827,445,472,83
1689535148,668,316,16
2133722844,498,500,2
1901820086,312,374,314
1818761161,27,6,681

