MapId,Win Rate,Loss Rate,Draw Rate
1935709758,408,42,550
51516227,329,367,304
1122326535,351,183,466
1131455235,622,289,89
188730706,500,453,47
599932952,403,22,575
1439017602,352,248,400
982445498,699,277,24
1945364926,460,526,14
61273974,586,401,13
1176595916,50,161,789
43423149,558,434,8
861162199,665,274,61
232158586,458,278,264
746875267,500,438,62
879686212,606,351,43
1240174635,240,693,67
1235831963,190,705,105
2110945501,357,216,427
697055190,298,124,578
2045414268,117,58,825
900354388,319,580,101
1018279573,439,547,14
871729780,586,360,54
378243415,559,294,147
2073247787,328,580,92
111574936,266,554,180
1113081197,205,466,329
777647786,320,201,14

