MapId,Win Rate,Loss Rate,Draw Rate
14910663,561,392,47
1296695977,285,163,552
951771422,108,46,846
719636481,5,2,993
1098023100,364,616,20
1153805586,218,702,80
546022202,608,382,10
266541284,516,427,57
1657927850,264,536,200
243307254,581,397,22
356081427,626,281,93
571614154,336,284,380
1194894082,453,480,67
927844825,205,488,307
885195810,357,346,297
1869509733,257,182,561
1919371726,511,352,137
197798516,11,19,970
1286201600,753,224,23
1830666442,581,346,73
247958887,578,395,27
2068435780,251,237,512
527007427,585,367,48
1354717425,447,519,34
537763608,2,16,982
1866493610,429,468,103
443384774,213,395,392
583295665,438,479,83
1419616371,63,24,913
1881941704,261,139,600
1174039930,446,340,214
1457051611,661,289,50
452315286,312,581,107
537992736,383,202,415
418081750,768,214,18
170664462,487,385,128
1708706403,764,216,20
865228955,490,472,38
231902494,418,560,22
122864205,400,109,491
1850915157,234,399,367
1447941896,743,209,48
1507678762,223,97,680
321930960,448,426,126
1917280094,411,502,87
105851182,88,108,3

