MapId,Win Rate,Loss Rate,Draw Rate
1815884487,495,461,44
1839894665,519,380,101
1383802150,32,17,951
481837849,625,290,85
1005671901,408,215,377
797720381,355,606,39
2105982002,381,279,340
546519230,404,568,28
348783264,460,507,33
761651201,256,352,392
34059956,110,609,281
1112102969,289,10,701
1023428631,449,470,81
951888248,463,433,104
1025614369,500,453,47
1154125720,190,519,291
535216326,386,101,513
1841002486,455,519,26
1546456532,461,495,44
1851717662,152,145,703
1236768499,298,625,77
1021267930,738,211,51
982925100,363,447,190
1688032375,362,171,78

