MapId,Win Rate,Loss Rate,Draw Rate
1927192611,373,599,28
1313976259,451,458,91
1620293801,26,11,963
1724541098,379,562,59
982216892,206,255,539
1846215417,169,205,626
1249807590,252,691,57
187967771,577,365,58
310206775,475,424,101
163606561,465,515,20
827430921,223,560,217
1710540884,631,362,7
1977826163,567,414,19
721602212,351,382,267
123752545,569,305,126
1132456204,405,511,84
707645140,575,382,43
1747686545,684,265,51
882000742,170,427,403
228411047,390,569,41
247358679,189,314,497
1248027955,611,328,61
88901980,374,59,567
339360161,196,516,288
2052181367,200,607,193
1918312366,814,173,13
968979121,40,11,949
16055292,512,455,33
1683527087,554,265,181
1286024214,619,329,52
1317964730,408,559,33
490072590,672,230,98
1622815679,528,359,113
1754612861,381,331,288
1037677149,314,673,13
16872179,580,392,28
440398265,468,459,73
569075129,675,319,6
2075967489,501,330,169
1270325929,612,370,18
913003130,716,137,147
139999226,298,684,18
994504991,474,263,263
1376520740,4,3,993
1541780721,558,392,50
1093416215,703,260,37
387999470,276,133,127

