MapId,Win Rate,Loss Rate,Draw Rate
1969549841,307,661,32
65534773,520,452,28
805697382,128,487,385
729043443,355,619,26
852479312,435,520,45
1350927671,516,460,24
768348105,509,403,88
1130680338,374,426,200
1718049249,477,488,35
616574006,393,339,268
1311540576,210,423,367
1973848913,586,298,116
468483340,133,377,490
2065736684,200,618,182
360288537,280,693,27
1743132065,395,577,28
89627385,544,404,52
1527739028,763,211,26
1442959512,432,369,199
625752994,482,420,98
333909019,517,452,31
1662359384,53,55,892
483906264,44,25,931
216679047,553,380,67
2116532013,299,356,345
620441914,264,123,613
2127787657,490,116,394
1830092870,504,476,20
462338238,355,632,13
857872976,305,394,301
1045036142,3,2,14

