MapId,Win Rate,Loss Rate,Draw Rate
23167511,335,375,290
1909434982,355,610,35
1944962137,514,468,18
504642892,708,229,63
1194645303,27,35,938
1954806765,510,478,12
873785867,450,153,397
1967688990,300,396,304
659952690,85,164,751
908378234,465,492,43
1258963259,219,576,205
814670999,380,452,168
246736279,540,124,336
772891046,151,38,811
1969361754,199,349,452
1831800911,731,192,77
893832371,609,372,19
1762730235,280,698,22
2082094224,653,341,6
969750311,565,415,20
542242119,328,597,75
13343914,252,119,629
2004294158,511,456,33
1015984040,673,310,17
1744781315,534,377,89
1512252857,2,1,997
1073526285,564,421,15
1977947732,608,355,37
1767962863,667,324,9
1495170711,180,427,393
408351333,1,12,987
252078952,153,90,757
137532297,126,453,421
799451095,474,489,37
1953667368,219,64,717
1239785204,769,183,48
453920509,363,388,249
1784195661,275,461,264
368901043,631,317,52
1176240466,540,251,209
1962507169,630,338,32
1260529962,606,370,24
1555981986,685,285,30
1684576006,116,211,673
1936844561,547,326,127
59981522,205,291,5

