MapId,Win Rate,Loss Rate,Draw Rate
9862563,686,296,18
2099937690,597,337,66
1900173444,524,215,261
1780485368,507,473,20
551574200,228,441,331
533104551,596,361,43
1625245536,605,99,296
1983344525,37,22,941
1362569521,851,107,42
1879234876,428,510,62
815943658,554,437,9
1482468559,547,443,10
919841003,636,353,11
939788757,566,307,127
1173393941,521,286,193
2060097218,507,320,173
2038266903,416,580,4
138331470,270,712,18
1153120693,177,225,598
2134716172,543,438,19
216564747,326,660,14
1107316748,496,401,103
250032951,289,327,199

