MapId,Win Rate,Loss Rate,Draw Rate
5670402,308,201,491
558718333,461,484,55
1924572352,257,718,25
1502342185,416,525,59
441715024,602,390,8
988431995,509,480,11
1029086153,512,350,138
437226115,179,85,736
1294500999,160,100,740
167187508,471,482,47
1461676345,569,396,35
19310975,642,269,89
1603906964,675,297,28
2098009955,156,57,787
1791881571,89,260,651
349134164,646,284,70
1022783657,79,67,854
1331033804,610,194,196
611559009,463,491,46
1753348083,27,11,962
441722250,398,507,95
1014568729,71,111,12

