MapId,Win Rate,Loss Rate,Draw Rate
58250035,443,493,64
126287039,526,329,145
615182460,367,561,72
130349491,708,242,50
35970238,585,397,18
692760602,322,249,429
888528828,384,597,19
772000536,638,304,58
1012082493,503,465,32
1759453455,515,470,15
1167318721,634,266,100
282386758,573,184,243
1274021444,386,206,408
693461627,469,519,12
1412493959,650,308,42
1465889145,629,264,107
188110442,400,557,43
1990402819,528,372,100
615966939,530,422,48
1855708608,397,245,358
1815767337,283,332,385
295425107,354,439,207
219836708,144,114,742
458892434,293,187,99

