MapId,Win Rate,Loss Rate,Draw Rate
99438246,213,741,46
1339570350,799,182,19
1155329220,240,659,101
238531542,528,407,65
922768482,532,415,53
1534020153,262,609,129
1050297441,475,258,267
1959345763,546,412,42
531309234,213,102,685
721357304,645,257,98
588386313,521,435,44
617718289,103,62,835
1523501705,287,246,467
1809801306,351,162,487
2144868690,316,549,135
1524525249,728,222,50
1422014879,561,410,29
1910196816,569,394,37
840889900,5,7,988
329875945,455,533,12
1647811173,5,6,989
1548449607,239,278,483
369634823,722,229,49
455416208,629,324,47
2027331416,339,625,36
1854083080,222,63,715
147133123,755,216,29
1345318573,213,289,498
897016174,530,431,39
1873297005,227,292,481
370049263,13,2,985
156949309,280,714,6
190991627,594,392,14
1411551402,97,124,779
350643120,498,441,61
1210586930,498,256,246
1981186317,214,576,210
1585379910,504,380,116
1759409204,41,7,952
1549208435,181,95,724
1195940548,672,217,111
1942617664,15,5,980
1751619920,646,326,28
1680584186,323,626,51
637654808,496,426,78
1639224273,14,8,47

