MapId,Win Rate,Loss Rate,Draw Rate
170808809,686,211,103
2117868025,343,291,366
2136524132,332,386,282
557314387,69,69,862
1408085757,493,420,87
1355251794,370,390,240
475303770,675,262,63
88848075,482,493,25
895558965,274,589,137
1758303298,143,134,723
946887985,15,9,976
88534029,442,166,392
1094849817,778,202,20
1713509959,732,257,11
1561905093,577,418,5
1359949158,604,336,60
804654589,490,507,3
974239849,697,88,215
119426872,306,645,49
1035131283,686,288,26
469315077,191,274,535
1281384134,485,410,105
962809357,579,383,38
343486336,546,392,62
1829713707,502,492,6
1656013004,486,396,118
1036520041,434,383,183
931607009,198,354,448
778603427,138,73,789
2059664939,505,478,17
906151917,597,391,12
57933728,740,201,59
1204029568,13,13,974
1779007699,204,340,456
1795684602,585,345,70
91128610,447,432,121
1773382737,703,200,97
1380595919,607,382,11
1790039397,293,367,340
1324252023,432,506,62
113927293,97,111,792
609393002,10,16,974
249965391,345,122,533
275546549,368,618,14
928954702,543,453,4
1689962297,499,486,15
373928838,507,125,15

