MapId,Win Rate,Loss Rate,Draw Rate
1822839048,693,188,119
1020622736,170,84,746
851431079,390,574,36
449925893,283,361,356
1279944335,516,123,361
1110209236,194,795,11
2054110232,526,437,37
1963746808,325,627,48
1241387615,525,454,21
770782332,294,677,29
1694993160,586,357,57
433444250,216,344,440
1314730885,286,332,382
738605605,294,682,24
1176533203,389,409,202
1538572156,203,180,617
1674955702,561,413,26
1575141646,383,203,414
945363748,581,353,66
1774287034,56,28,916
879846933,726,234,40
686784754,374,437,189
1214615113,145,125,730
1554029194,305,650,45
150621095,267,399,334
756451946,825,134,41
1451616431,762,224,14
1001307471,550,353,97
1682860137,734,257,9
1505144337,5,12,213

