MapId,Win Rate,Loss Rate,Draw Rate
319581422,630,280,90
1891689520,230,441,329
46022852,444,503,53
234663143,607,329,64
1092964854,351,264,385
264857612,478,501,21
1284650734,484,509,7
1021330595,436,542,22
1365869678,363,605,32
398054261,540,409,51
1140914207,351,167,482
1447651241,410,552,38
835253873,293,681,26
1281290485,466,505,29
1598717516,533,455,12
1909108913,484,465,51
1798763907,672,275,53
1262899680,752,227,21
1407896089,182,475,343
290218192,434,482,84
433966808,228,52,720
2074263756,662,230,108
1889498908,123,33,844
1057832215,331,642,27
1622547845,156,58,358

