MapId,Win Rate,Loss Rate,Draw Rate
1997473249,150,167,683
501260085,328,659,13
600042940,319,624,57
851945139,231,281,488
1568217889,558,380,62
977358731,194,447,359
1997935912,463,144,393
425277618,62,117,821
963518343,649,342,9
1662447088,92,90,818
1310660858,303,650,47
884871963,182,501,317
1082149950,436,562,2
313117369,285,381,334
933583185,552,444,4
1503821824,691,297,12
1018884315,578,415,7
1246801284,194,678,128
1206498478,455,425,120
190118661,518,301,181
12103552,562,262,176
470928662,568,425,7
159457501,556,51,393
1396977036,502,397,101
351364813,555,301,144
324289592,412,260,328
1479176089,589,376,35
1501995230,578,285,137
913399287,385,222,393
2038766525,428,562,10
1434119159,420,424,156
1982992430,392,581,27
1071558149,324,333,87

