MapId,Win Rate,Loss Rate,Draw Rate
37292276,693,295,12
1212495863,413,560,27
604824122,0,3,997
1262801292,690,294,16
215238739,567,424,9
738672654,272,61,667
777458360,439,244,317
1689504677,616,338,46
729476548,97,36,867
829079129,218,769,13
614676680,427,369,204
116702575,546,402,52
1827187645,454,546,0
782195117,509,448,43
885592430,475,515,10
1778668740,347,636,17
2144753950,499,472,29
703441550,171,532,297
1333688324,421,497,82
1892202815,509,427,64
42557819,444,480,76
1742084423,296,164,540
713913629,141,50,809
2095057842,186,800,14
1699075167,443,335,222
1877674237,558,426,16
921929971,172,213,615
148669192,151,76,773
1404296437,295,122,583
1299018729,21,35,944
1771777120,733,228,39
92540801,517,307,176
7669308,362,123,515
301911597,512,476,12
430890809,300,291,409
2085565312,458,312,230
1698283011,478,485,37
830074917,445,530,25
1323258654,472,388,140
516118151,294,370,336
862725227,514,459,27
1288909867,571,334,95
71912745,236,739,25
1807127043,438,555,7
1787201700,275,42,683
304726540,25,28,947
1843627941,91,116,101

